Actual Summary,Model Summary
"Edward McCaffery: There's a fundamental unfairness to U.S. tax laws. But Americans don't care because most of us get a refund on Tax Day, and that makes us happy.
","8 out of 10 American taxpayers get a refund when they file their taxes, and the average amount is close to $3000. "
"ISIS raided Yarmouk refugee camp near Damascus on April 1. 18,000 Palestinian refugees remain in the camp, cut off from vital aid. One defiant elderly resident told CNN: ""I will not leave the Yarmouk camp even if I am 75 or 76 years old""
",Yarmouk camp was set up as a refugee camp for Palestinians in the 1950s. Since 2012 it has been engulfed in the Syrian conflict. ISIS fighters stormed the area two weeks ago. 
"MTV Movie Awards host Amy Schumer had some hits and misses during the show. Rebel Wilson tossed in a censor-worthy joke.
","The 2015 MTV Movie Awards were held Sunday night. Amy Schumer hosted, and Channing Tatum twerked for Jennifer Lopez. "
"Marvel Studios releases first looks at Paul Bettany as the Vision in ""Avengers: Age of Ultron"" and Charlie Cox in full ""Daredevil"" costume. Jamie Bell's character of The Thing was also unveiled for 20th Century Fox's Marvel-based reboot of ""Fantastic Four"" Bryan Singer unveiled the first look at ""X-Men: Apocalypse"" Angel played by Ben Hardy.
","Paul Bettany will play Vision in the ""Avengers: Age of Ultron"" movie. He joins the cast of the new Netflix series ""Daredevil"" Director Bryan Singer also announced a new character for ""X-Men: Apocalypse"" "
"Ursula Ward talks about the shock and pain of her son's murder. Odin Lloyd's sister said her brother's death has felt like 'a bad dream'
","Aaron Hernandez was convicted of first degree murder and sentenced to life in prison. Odin Lloyd, 27, was killed in June 2013. His mother, sister, uncle and cousin described him as a champion of family. "
"Aaron Hernandez has been found guilty in Odin Lloyd's death, but his troubles are not over. He also faces murder charges in Suffolk County, Massachusetts, but trial was postponed. In addition, Hernandez will face two civil lawsuits; one is in relation to Suffolk County case.
",Aaron Hernandez could face three more trials. He is accused of killing two men and wounding another near a Boston nightclub in 2012. 
"Critically acclaimed series ""Orphan Black"" returns. ""Turn: Washington's Spies"" starts a second season. ""Game of Thrones"" is back for season five.
","The second season of ""Orphan Black"" premieres on Saturday. ""Game of Thrones"" returns for a fifth season. ""Nurse Jackie"" wraps up its final season. "
"Milano had pumped while on plane. Travelers are asked to carry only what they need.
","Actress Alyssa Milano was on a ""romantic getaway"" when her milk was allegedly confiscated. Heathrow Airport asks that travelers only carry what they need for the flight. "
"Prosecutor Ray Gricar has been missing for 10 years. His laptop and hard drive were found too damaged to read. Gricar has been declared legally dead.
",Ray Gricar was 59 when he went missing in 2005. His laptop and hard drive were found on the banks of the Susquehanna River. 
"Akhil Amar: Lincoln's two biggest legacies, keeping union together and abolishing slavery, had Midwestern roots. Lincoln saw the federal government as pre-eminent and believed there was no logical border for dividing the U.S.
",Lincoln's two greatest legacies grew organically from his Midwestern roots. 
"Marvel's long-awaited show ""Daredevil"" began streaming early Friday. Binge-watchers are already giving the series high marks.
","Marvel's ""Daredevil"" premiered its first season on Netflix on Friday. Critics are raving about the show. "
"29 elephants currently live at the circus sanctuary, and 13 more will join by 2018. The expansion comes after Ringling Bros. said it would stop using elephants in circus. $65,000 worth of care annually includes pedicures, stretching and tons -- literally -- of food.
",Ringling Bros. Center for Elephant Conservation houses 29 elephants. 13 more will join the group by 2018. Decision to end use of elephants came after years of litigation. 
"Citizens gather to honor victims on One Boston Day, two years after the marathon bombings. ""Today will always be a little emotional for me,"" one Bostonian tells CNN.
","Dzhokhar Tsarnaev was convicted last week on 30 charges related to the 2013 Boston Marathon bombings. He is scheduled to be sentenced next week; the death penalty is on the table. Wednesday marked ""One Boston Day,"" a day of remembrance for the victims and survivors. "
"Students stampeded; some jumped from a fifth story at a dorm; one student died, school officials say. The blasts were caused by faulty electrical cable, and Kenya Power is at the school. The panic came less than two weeks after terrorists attacked Kenya's Garissa University.
",University of Nairobi students heard explosions and thought it was a terror attack. They stampeded down the halls of a dormitory and some jumped from its fifth floor. One person died and hundreds were injured. 
"Reserve Deputy Robert Bates surrenders to authorities, posts bail of $25,000. Bates is charged with second-degree manslaughter in the killing of Eric Harris.
",Tulsa County reserve deputy Robert Bates turns himself in to authorities. He is charged with second-degree manslaughter in the shooting death of Eric Harris. Video shows Bates announcing he is going to deploy his Taser but then shooting Harris in the back with a handgun. 
"Somali sisters, Iman and Siham Hashi, make up Faarrow. A fusion of hip-hop, world pop and Afrobeats, they are currently finishing debut album.
","Iman and Siham Hashi, sisters from Mogadishu, Somalia, were forced to flee their homeland after war broke out in 1991. They relocated to Canada, where they discovered a passion for music and now have their own label, Faarrow. They describe their Afro-pop sound as ""pop with undertones of hip hop and rhythmic African percussion"" "
"ISIS attacked the Baiji oil refinery Saturday. The refinery, Iraq's largest, has long been a lucrative target for militants.
","Hundreds of additional Iraqi troops are being sent to reinforce colleagues at Baiji oil refinery, Hasd Al-Shaabi militia says. The reinforcements come four days after ISIS began attacking Iraq's largest oil refinery. "
"The operator of the Fukushima nuclear plant said it has abandoned a robotic probe inside one of the damaged reactors. A report stated that a fallen object has left the robot stranded. The robot collected data on radiation levels and investigated the spread of debris.
","The robot was set out to collect data on radiation levels and investigate the spread of debris. It stalled after moving about 10 meters, according to Tokyo Electric Power Company. TEPCO decided to cut off the cable after it had covered two-thirds of its planned route. "
"Saudi general says more than 1,200 airstrikes since campaign began March 26. Three Saudis were killed in attack on border position, source tells CNN.
","More than 500 Houthi rebels have been killed, a Saudi official says. The nine-nation coalition has undertaken 1,200 airstrikes since March 26, he says. "
"Tourists and locals queue for several hours to get their hands on Jenny's butter cookies. People are even hired to stand in line to buy the cookies, which are later sold at an up-to-70% mark-up. Food frenzies have also taken place in other parts of the world.
",People in Hong Kong are lining up for hours to get their hands on Jenny's cookies. The buttery treats cost $9 a tin and are popular with tourists and locals. Bakery owners are discouraging people from buying knockoffs. 
"Woman leaves explosives-laden handbag beside bus during boarding. No group has claimed responsibility, but Boko Haram is suspected.
","Explosion outside a bus station in Gombe, Nigeria, kills at least five people and injures more than a dozen, witnesses say. Woman left her explosives-laden handbag near a bus filling up with passengers, a witness says. No one has claimed responsibility for the attack, but Boko Haram is the main suspect. "
"Obama's point man in ISIS fight doesn't rule out U.S. military action beyond Iraq and Syria. Brett McGurk: Iraqi leader making progress with Sunni tribes in planned Anbar offensive.
","Brett McGurk is the Obama administration's point man in the fight against ISIS. He says the number of foreign fighters in Syria is ""off the charts historically"" "
"""Amy"" features archival footage of the singer and original music tracks. ""Amy"" seeks to ""truly capture not just the great artist that she was,"" filmmakers say. Winehouse, who died at 27, said fame would probably drive her ""mad""
","Amy Winehouse documentary ""Amy: The Girl Behind the Name"" is set for UK release on July 3. The first trailer features early footage of the late singer talking about her music career. Winehouse died from alcohol poisoning at the age of 27 in 2011. "
"Dzhokhar Tsarnaev was found guilty of all 30 counts, may face death penalty. The sentencing phase starts April 21; a judge predicts it will last four weeks. He warns jurors not to do anything that could be prejudicial to the case.
","Dzhokhar Tsarnaev's sentencing phase begins April 21, a day after the Boston Marathon. Federal Judge George A. O'Toole tells jurors not to attend any events related to the marathon. Tsarnaev was convicted on all 30 of the charges against him. "
"Alexander Blair, 28, of Topeka accused of knowing about bomb plot but not contacting authorities. Fort Riley's security was never breached and the device was ""inert"" and not a threat, authorities say. John T. Booker Jr., 20, of Topeka had acquired bomb parts and made a propaganda video, the Justice Department says.
","John T. Booker Jr., an American citizen also known as Mohammed Abdullah Hassan, was arrested Friday. He was charged with trying to detonate a car bomb at Fort Riley military base in Kansas. A second man allegedly knew about the bomb plot but didn't call authorities. "
"Actress Gwyneth Paltrow is trying to live on $29 worth of food for one week. It's a part of the #FoodBankNYCChallenge, which is bringing awareness to food poverty. Paltrow was nominated by her friend chef Mario Batali.
",Gwyneth Paltrow is participating in the #FoodBankNYCChallenge. The challenge is an attempt to live on a food stamp budget for one week. 
"Rowing team at Washington University attacked by flying carp. Member of the team caught the attack on video.
",A swarm of Asian carp attacked the Washington University of rowing team's boat. The team was practicing on Creve Coeur Lake near St. Louis. 
"Muhammadu Buhari tells CNN's Christiane Amanpour that he will fight corruption in Nigeria. Nigeria is the most populous country in Africa and is grappling with violent Boko Haram extremists. Nigeria is also Africa's biggest economy, but up to 70% of Nigerians live on less than a dollar a day.
","Muhammadu Buhari tells Christiane Amanpour he plans to aggressively fight corruption. He says he'll focus on curbing violence in the northeast, where Boko Haram operates. Buharian defeated incumbent Goodluck Jonathan by about 2 million votes. "
"Families flee parts of western Iraq amid continuing onslaught from ISIS fighters. Officials there say the Iraqi government is failing to protect them. Thousands have been forced to grab what they can and head east toward the capital.
","Over the weekend ISIS fighters moved into towns just to the north of Ramadi, which lies 68 miles (110km) west of Baghdad, sending thousands fleeing on foot into the city. "
"Amina Ali Qassim's family sought shelter in a mosque before fleeing Yemen. Thousands like them are boarding boats to sail to Djibouti. Saudi Arabia has been pounding Yemen in a bid to defeat Houthi rebels.
","Amina Ali Qassim and her family fled the Yemeni island of Birim to Djibouti in a boat with 25 other families. The boat journey across the Bab al-Mandab Strait was a ""catastrophe,"" her son says. "
"Georgia Gov. Nathan Deal signs a medical marijuana bill. The bill is inspired by Haleigh Cox, a 5-year-old whose seizures threatened her life.
","Georgia Gov. Nathan Deal signs bill that will legalize low-THC cannabis oil for certain ""medication-resistant epilepsies"" Haleigh Cox, 5, has been the face of the bill after her mother moved her to Colorado for treatment. "
"Carolina Sandretto focuses on the crumbling buildings many Cubans live in together. The maze-like ""solares"" often include separate families under one roof.
","Photographer Carolina Sandretto focuses on ""solares,"" the crumbling buildings that many Cubans divide and cohabitate. Many families share one dwelling, often with several generations and separate families sharing one dwelling. "
"Framework agreement with Iran over its nuclear program was reached this month. Julian Zelizer: White House should seek congressional approval for final deal. There's a history of Congress causing trouble for major international treaties, he says.
",Julian Zelizer: It's a mistake to say Obama doesn't need Congress' approval for Iran nuclear deal. He says history shows presidents have succeeded in getting Congress to ratify important international agreements. 
"Country band Lady Antebellum's bus caught fire Thursday on a Texas freeway. A CNN iReporter captured the dramatic scene on video. Singer Hillary Scott shared a pic of the charred bus on Instagram.
","Lady Antebellum singer Hillary Scott's tour bus catches fire on a Texas freeway. Everyone on board was safely evacuated, Scott says on Instagram. "
"Bill passes 92 to 8; passage came just hours before cuts to physicians would have taken place. GOP presidential candidates Ted Cruz and Marco Rubio vote against the bill, candidate Rand Paul votes for it.
","The Senate passes a Medicare reform bill 92 to 8. The bill includes a permanent solution to the ""doc fix"" The House passed the bill more than two weeks ago. "
"An Australian woman finds a ring while snorkeling in Bali. Words engraved on the antique ring give clues to its owner's identity.
","Roxy Walsh found the ring while snorkeling at Finn's Beach in Bali. It was engraved with the words, ""Darling Joe, Happy 70th Birthday 2009. Love Jenny"" Walsh posted the find on her company's Facebook page, Kids in Adelaide. She was able to reunite the ring with its owner, Joe Langley, in Noosa, Australia. "
"Six people, including one civilian, are killed when a car bomb explodes near a police station. Six others are killed when their armored vehicle is attacked on a highway in northern Sinai. Ansar Beit Al-Maqdis, an ISIS affiliate, claims responsibility.
","Ansar Beit Al-Maqdis, an ISIS affiliate, claims responsibility for a car bomb attack in Al-Arish. Six people, including one civilian, are killed in a separate attack on a police station, authorities say. "
"P!nk took to Twitter to address online comments about her body. Her ""squishiness"" is a result of happiness, she says.
","P!nk responded to body-haters after she posted a photo of herself in a black dress to a cancer benefit. Her response rallied her fans, who started sharing photos of themselves post-pregnancy. "
"Cynthia Lennon was John Lennon's first wife. She was there during the rise of the Beatles. Her death was announced by her son, Julian.
","Cynthia Lennon died at her home in Mallorca, Spain, after a short but brave battle with cancer. She and John Lennon were married for six years. She wrote two books about her marriage to the Beatle. "
"President Barack Obama is attending the Summit of the Americas. Frida Ghitis says he must work to improve ties with region.
",U.S. President Barack Obama and Cuban President Raul Castro will meet this week in Panama. Julian Zelizer: Obama needs to put on a strong performance at the Summit of the Americas. 
"Australia to cut welfare benefits for parents who refuse to vaccinate their children. The ""no jab, no pay"" policy will come into effect in January 2016. The Australian government estimates more than 39,000 children who have not been vaccinated.
","Parents who refuse to vaccinate their children can lose up to $11,000 of welfare benefits a year under a new government policy. The Australian government estimates more than 39,000 children under the age of seven have not been vaccinated because of their parents' objections. "
"The items were originally given to a historian who opposed the camps, CNN affiliate reports. Auctioneer hoped they would be bought by museum or someone who would donate them for historical appreciation. Japanese-Americans were furious about items from family members, others being sold.
","The items were made by Japanese-Americans confined to World War II internment camps. ""Star Trek"" actor George Takei led a campaign to stop the sale of the items. "
"Hanan, 19, was captured by ISIS when militants took the town of Sinjar. She was among the women and girls separated to be sold as sex slaves.
","Thousands of Yazidi women and girls were taken captive by ISIS in August. They were separated from their families and sold as sex slaves. Hanan, 19, was one of 25 Yazidi girls who managed to escape. She tells CNN about her ordeal in the Shariya refugee camp. "
"V. Stiviano must pay back $2.6 million in gifts from Donald Sterling. Sterling's wife claimed the ex-Clippers used the couple's money for the gifts. The items included a Ferrari, two Bentleys and a Range Rover.
","A judge orders V. Stiviano to pay back more than $2.6 million in gifts from Donald Sterling. The gifts included a Ferrari, two Bentleys and a Range Rover. Sterling's wife sued her, accusing her of targeting wealthy older men. "
"Officers arrested Jason Rezaian and his wife in July on unspecified allegations. It took months to charge him; charges were made public last week. The Washington Post and the State Department find the charges ""absurd""
","Jason Rezaian, the Washington Post's bureau chief in Tehran, was arrested in July. He is accused of economic spying, according to Iranian state media. The State Department calls the charges ""absurd"" "
"Thabo Sefolosha says he ""experienced a significant injury and... the injury was caused by the police"" He and teammate Pero Antic were arrested near the scene of a stabbing early April 8. They were not involved in the stabbing police said, but they were arrested for obstruction, other charges.
",Thabo Sefolosha says he suffered a season-ending leg injury when he was arrested last week. The Atlanta Hawks guard and teammate Pero Antic were arrested near the scene of a stabbing. 
"Gaioz Nigalidze is banned from the Dubai Open Chess Tournament. Officials say he frequented the bathroom, where his phone was hidden in toilet paper. That phone had a chess analysis application open, officials say.
","Georgian chess grandmaster Gaioz Nigalidze has been banned from the Dubai Open Chess Tournament. Officials discovered he was darting to the toilet to consult his smartphone, which was logged onto a chess analysis app. "
"Al Qaeda confirms that two of its leaders were killed in January drone strikes. Other leaders have been killed or captured recently. The terrorist group's capacity to carry out attacks in the West has been greatly diminished.
",Al Qaeda confirmed the deaths of two of its top leaders in January. Peter Bergen says the deaths show how al Qaeda has been decimated. 
"Maricopa County Sheriff's Office in Arizona says Robert Bates never trained with them. ""He met every requirement, and all he did was give of himself,"" his attorney says. Tulsa World newspaper: Three supervisors who refused to sign forged records on Robert Bates were reassigned.
","Tulsa County Sheriff's Office denies allegations in a new newspaper report. Robert Bates, 73, is accused of killing Eric Harris during a police sting operation in April. A newspaper report says supervisors were told to falsify training records for Bates. "
"TV5Monde went black late Wednesday and was still out hours later. The network blames an ""Islamist group""; there's no claim of responsibility.
","French-language global TV network TV5Monde lost control of its 11 channels and its social media outlets. The network says it was ""hacked by an Islamist group,"" but no one has claimed responsibility. "
"Robby Mook, Hillary Clinton's soon-to-be campaign manager, distributes a ""values statement"" The memo maintains that the campaign must remain humble, disciplined and united.
","Hillary Clinton's campaign-in-waiting met Saturday in its Brooklyn headquarters. Robby Mook, Clinton's soon-to-be campaign manager, distributed a ""values statement"" The document outlines what the campaign will stand for, what their goals are and how they plan to win. Clinton is planning to officially announce her presidential candidacy on Sunday. "
"John Helinski's ID and Social Security cards had been stolen. His case worker and a cop had to get foreign ID papers to get him a driver's license. Then Helinski remembered a bank account he used to have.
",John Helinski was homeless and nameless for three years. His ID and Social Security cards were stolen. A big-hearted cop and a case worker helped him get back into the system. 
"The cause of a gas line explosion in Fresno, California, is unknown. Two of the injured were undergoing emergency surgery.
","Natural gas line explosion injures 11 people, including two sheriff's deputies, sheriff says. Blast happened at spot where county worker was operating front loader. Most serious injuries were suffered by inmates assigned to work detail at firing range. "
"Foreign fighters are increasingly signing up to fight ISIS on the front lines. For some of the jihadist group's foes, foreign fighters are not welcome comrades. Training and logistical support, some argue, is the best way to support the fight against ISIS.
","U.S. military training efforts are being supplemented by outside agencies. Dozens of foreigners, including Americans, have volunteered to take the fight to ISIS. "
"The film's cast is diverse. EW points out that Hollywood still needs to catch up. One of the stars says the franchise has evolved.
","Vin Diesel predicts ""Furious 7"" will win best picture at the Oscars. The cast is racially and ethnically diverse. The ""Fast and Furious"" films have a diverse focus and appeal. "
"Officials say 131 Californians were affected by one strain, five by other strains. About 70% of the people who could show health records were unvaccinated. Outbreak began in December among visitors to two Disney theme parks.
","It has been 42 days since the last known case of the B3 strain of measles in California. Of 131 cases, 81 people were able to get the vaccination status for 81 of them. "
"More than 10,000 people marched in Durban against violence, officials say. Twitter followers voiced their support through hashtag campaigns. A Cape Town resident tweets his complaints against a Zulu King.
",Hashtags like #PeaceMarch and #SayNoToXenophobia are trending in South Africa. The protests follow recent attacks on foreigners in the country that have claimed five lives. 
"Dr. Anthony Moschetto, 54, arrested for selling drugs and weapons, prosecutors say. Authorities allege Moschetto hired accomplices to burn down the practice of former associate. Attorney says client will ""vigorously"" defend himself.
","Dr. Anthony Moschetto, 54, pleads not guilty to criminal solicitation, conspiracy, burglary, arson, criminal prescription sale and weapons charges. Two other men, James Chmela, 43, and James Kalamaras, 41, are named as accomplices. "
"Egypt, Saudi Arabia to launch joint military maneuvers inside Saudi borders. The arms embargo applies to the Houthis and backers of ex-President Saleh. Russia abstains from the U.N. Security Council vote over the inclusion of sanctions.
","The U.N. Security Council votes in favor of an arms embargo on Houthis. The Houthis have taken over large swaths of Yemen, including its capital, Sanaa. Russia abstained from the vote, saying it didn't like the inclusion of sanctions. "
"""Batman v. Superman: Dawn of Justice"" trailer leaked Thursday before being yanked offline. Film will be released on March 25, 2016 and stars Ben Affleck and Henry Cavill.
","A trailer for Zack Snyder's upcoming ""Batman v. Superman: Dawn of Justice"" leaked online. The highly anticipated footage was set to premiere in Imax theaters on Monday. It will be released on March 25, 2016. "
"Female juror: ""Everyone's life changed because of this"" The jurors said they didn't learn of the other charges against Hernandez until after the verdict. For these jurors, the system worked: It's ""designed to be fair to both sides""
","Aaron Hernandez was convicted of first-degree murder in the death of Odin Lloyd. The jury deliberated more than 35 hours over parts of seven days. ""It's the hardest thing I've ever done in my life,"" one juror says. "
"Third suspect identified as George Davon Kennedy of Murfreesboro, Tennessee. Young woman was raped on a crowded beach in broad daylight, police say. Some bystanders saw what was happening and didn't stop it, authorities say.
","George Davon Kennedy was arrested in DeKalb County, Georgia, police say. He is the third person arrested in connection with an alleged spring break gang rape in Panama City Beach. Two other men have been charged with sexual battery by multiple perpetrators. A woman told police she may have been drugged and gang-raped on a beach. "
"USS Oklahoma was lost during Japanese attack on Pearl Harbor in 1941. Hundreds of crew members were buried without identification.
","Remains of up to nearly 400 service members tied to the USS Oklahoma will be exhumed this year. The USS Oklahoma sank when it was hit by torpedoes on December 7, 1941. A total of 429 sailors and Marines were killed. "
"Yarmouk is a refugee camp near Damascus in war-ravaged Syria. Pierre Krähenbühl of the United Nations: Individual lives underscore need for humanitarian action.
",U.N. chief Ban Ki-moon visited the Yarmouk refugee camp in Damascus. He met two infants who had been taken from the camp. 
"Official: Girl, 15, ""expressed an interest in joining a terrorist group called ISIS"" Authorities detain girl at Cape Town airport, release her into family's care, he says.
","Authorities detained a 15-year-old girl from Cape Town, South Africa, at the city's airport. She had been using social media and reading material that suggested she wanted to join ISIS, official says. "
"Kenneth Morgan Stancil, charged with first-degree murder, swears at the judge. Deputies escort him from court after he tries to flip over a table. Stancil is accused of killing an employee at Wayne Community College.
","Kenneth Morgan Stancil III is accused of killing an employee at a North Carolina community college. He is charged with first-degree murder and faces the death penalty if convicted. In court Thursday, he swore at a judge and tried to flip over a table. "
"""I rate this as No. 1 on my list of things in my life that I regret,"" Robert Bates tells ""Today"" He says he didn't mean to kill Eric Harris and rejects claims his training records were forged. ""I still can't believe it happened,"" Bates tells the NBC show.
",Robert Bates is accused of manslaughter in the death of Eric Harris. Bates says he mistook his gun for a Taser and shot Harris accidentally. Sheriff's office denies falsifying training records. 
"The attack at a Garissa university last week killed 147 people, mostly students. Mohamed Mohamud taught at a Madrassa in the Kenyan town. Authorities fear the rise of homegrown terrorists in the African country.
",Mohamed Mohamud is suspected of masterminding the attack on a Kenyan university last week. He once taught at the same religious school as the 147 people killed in the attack. Officials say he is now in command of an Al-Shabaab militia based near Kenya's border with Somalia. 
"Previous popes had finessed the question of whether the killing of 1.5 million Armenians was genocide. Because he often shines such a smiley face on the world, it can be easy to forget the bluntness Francis sometimes brings to the bully pulpit.
","Pope Francis used the word ""genocide"" in a speech to mark 100 years since the Armenian genocide. Turkey's foreign minister called it ""unacceptable"" and ""out of touch with historical facts"" "
"Adrian Peterson had been suspended after pleading guilty to misdemeanor reckless assault. NFL Commissioner Roger Goodell requires him to keep going to counseling, other treatment. Minnesota Vikings, 7-9 last season, say they look forward to him rejoining the team.
","Adrian Peterson will be reinstated as an active player by the NFL on Friday, the league says. NFL suspended Peterson in November over allegations that he disciplined his son too harshly with a ""switch"" "
"Police say Robert Bates, 73, thought he pulled out his Taser during an arrest. Instead, he shot the suspect, who later died at a local hospital.
","Tulsa County reserve deputy Robert Bates, 73, is on administrative leave. Police say Bates thought he was using a Taser when he accidentally shot Eric Courtney Harris, 44. Harris, a convicted felon, later died at a local hospital. "
"Police arrest 133,000 people and seize 43.3 tons of narcotics in a six-month period. China launches a new online campaign to crack down on online drug crimes. Celebrities have been embroiled in the nation's intensifying anti-drug campaign.
","Chinese authorities seize 43.3 tons of illegal narcotics during six-month anti-drug campaign. Authorities also handled 115,000 drug-related crimes and 606,000 cases of drug use. "
"Jack White taking a hiatus from touring after brief acoustic jaunt. He'll play five states he has yet to get to, charge just $3. Places and times of shows are currently a mystery.
","Jack White announced he'll take a hiatus from touring. White will wrap his touring efforts in support of ""Lazeretto"" with a brief, first-ever acoustic tour. The shows will be unannounced until day-of-show. "
"Almost 16 million people in Yemen are in need of humanitarian aid, according to U.N. Planeload of aid supplies including food and medicine was flown in to Sanaa on Tuesday. A rare ceasefire was negotiated to allow the plane to land briefly.
","CNN was granted rare access to Sanaa Airport on a humanitarian mission by Unicef. More than 100,000 Yemeni civilians have fled their homes since fighting began. UN estimates 15.9 million people in Yemen are in need of assistance. "
"The Soviets invaded Poland in World War II and deported hundreds of thousands of people. Tomasz Lazar photographed some of these Poles and listened to their stories.
",Tomasz Lazar spent hours photographing and interviewing adults who were ripped from their homes as children in the 1940s. Soviet authorities invaded Poland during World War II and deported hundreds of thousands of Poles. 
"Reserve deputy Robert Bates said he meant to use a Taser but accidentally shot and killed a man. Lawyer for slain man's family says Bates wasn't qualified to be on the force and received preferential treatment. ""Robert Bates has met all the requisite training required by Oklahoma to be a reserve deputy,"" Bates' lawyer says.
","Robert Bates is charged with second-degree manslaughter in the death of Eric Harris. Bates' lawyer says he obtained training documents that show he had one Taser training class, three firearms training classes and qualified 10 times to use a handgun. "
"Abdirahman Sheik Mohamud pleads not guilty to charges of providing material support to terrorists and lying to the FBI. The Columbus, Ohio, resident became a U.S. citizen in February 2014. In April 2014, he went to Syria for terrorism training, prosecutors say in a news release.
","Abdirahman Sheik Mohamud, 23, pleads not guilty to federal charges. He allegedly traveled to Syria for training and wanted to return home to kill Americans. "
"Les Abend: There were likely warning signs during the co-pilot's training. He says Andreas Lubitz had to go through many challenges to qualify to be a co-pilot.
","Andreas Lubitz, co-pilot of Germanwings Flight 9525, was diagnosed with depression. David Perry: Pilots can compartmentalize personal problems, but stress can manifest as depression. He says Lubitz had to go through rigorous training to be a pilot, which raises questions about his mental health. Perry: If he had mental issues, it would have been obvious to those who knew him. "
"Here's a roundup of the week's trending pop-culture stories. They include a new ""Star Wars"" trailer and an ill-advised, on-camera rant.
","Producers of ""Star Wars: The Force Awakens"" unveiled a nearly two-minute trailer. The first set of female quintuplets was born in Houston, Texas. "
"Michelle MacLaren is no longer set to direct the first ""Wonder Woman"" theatrical movie. MacLaren left the project over ""creative differences"" Movie is currently set for 2017.
","Michelle MacLaren is leaving the upcoming ""Wonder Woman"" movie. She was announced as the director in November. The movie is still set for release on June 23, 2017. "
"The young boy's face appeared on milk cartons all across the United States. Patz's case marked a time of heightened awareness of crimes against children. Pedro Hernandez confessed three years ago to the 1979 killing in.
","Etan Patz went missing in New York City at age 6 in 1979. A jury will again deliberate over a possible verdict against the man charged in his killing. Pedro Hernandez confessed to police three years ago, but his lawyer says he is mentally ill. "
"""The Muppets"" might return to television on ABC. ""The Big Bang Theory"" co-creator Bill Prady is co-writing a pilot script. The old Muppet gang would return for the variety show.
","ABC is filming a pilot presentation for a revival of ""The Muppets"" ""The Big Bang Theory"" creator Bill Prady is co-writing the script. The presentation could be unspooled at May's upfront presentation. "
"Women in India are street harassed, primarily in crowded areas like trains and railway platforms. Elsa Marie D'Silva: It's time we speak up; we cannot accept harassment as part of our daily routine.
",U.N. report: 1 in 3 women face some form of sexual violence at least once in their lifetime. Study: 80% of women in Mumbai have been street harassed. 
"Jonathan Crombie is best known for playing Gilbert Blythe in ""Anne of Green Gables"" Book, movies about girl sent to live on Canadian farm.
","Jonathan Crombie played Gilbert Blythe in the ""Anne of Green Gables"" movies. He died Wednesday from complications of a brain hemorrhage, producer Kevin Sullivan says. "
"Al-Shabaab's attack on Garissa University College is the group's deadliest so far in Kenya. Authors: The group is under pressure from African Union forces and a covert U.S. war.
",This week's attack on Garissa University College is Al-Shabaab's fifth major assault in Kenya in the past year and a half. 
"Former rap mogul Marion ""Suge"" Knight will be tried for murder in a videotaped hit-and-run. His bail is reduced to $10 million from $25 million. A judge dismisses one of four charges against Knight.
","Marion ""Suge"" Knight is ordered to stand trial for murder and other charges stemming from a deadly hit-and-run confrontation. The judge also lowered Knight's bail to $10 million from $25 million. "
"It's National Park Week, and that means the parks are free April 18-19. Stargazing, Revolutionary War programs and other fun happens this week.
",National Park Week runs April 18 through April 26. Most of the National Park Service's 407 sites are free year-round. 
"CNN's John Sutter told the story of the ""Poor kids of Silicon Valley"" HUD Secretary Julián Castro: Our shortage of affordable housing is a national crisis that stunts the economy.
",Stephanie Coontz: 7.7 million low-income households live in substandard housing. 
"Debra Lobo, 55, is unconscious but is expected to survive after being shot Thursday, police say. She is vice principal of the Jinnah Medical and Dental College in Karachi. Police: She was on her way to pick up her daughters from school when she was shot.
","Debra Lobo, 55, was shot in the right cheek and left arm. She is unconscious but expected to survive. Police found pamphlets that the assailants had thrown into Lobo's car. "
"Columbia journalism school team finds major lapses in Rolling Stone's University of Virginia rape story. Errol Louis: Incredibly, the magazine isn't holding its staff accountable or changing procedures.
",Carol Costello: Rolling Stone's mistakes amount to journalistic malpractice. She says magazine's reaction to Columbia report shows it's not ready to change its operations. 
"Jon Cryer revives ""Pretty in Pink's"" Duckie dance routine for ""The Late Late Show"" Host James Corden tweets that the bit ""fulfilled a childhood dream""
","Jon Cryer and James Corden re-created the ""Duckie"" record-store dance on ""Late Late Show"" It's one of the best-loved bits from the 1986 John Hughes film. "
"Stephanie Coontz: Indiana, Arkansas governors caught off guard by outrage, boycotts over anti-LGBT law. She says religious conservatives who discriminate no longer hold sway in a culture comfortable with diversity, including same-sex marriage.
","Gayle Lemmon: Arkansas, Indiana governors were caught off guard by backlash against ""religious freedom"" laws. She says businesses with no previous record of support for equality are now under pressure to do more to combat discrimination. "
"Ines Dumig's photo series ""Apart Together"" follows a Somali refugee living in Germany. The underlying themes include isolation and ""otherness"" and the search for human dignity.
","Ines Dumig's photo series ""Apart Together"" focuses on Somali refugee Sahra. Sahra is a survivor determined to establish a new life for herself in Germany. "
"Stoll is a center who has played for the Kings since 2008. He is reportedly involved with sportscaster and ""Dancing with the Stars"" host Erin Andrews.
","L.A. Kings center Jarret Stoll is charged with possession of controlled substances, KSNV reports. He is reportedly involved with TV personality Erin Andrews, who co-hosts ""Dancing with the Stars"" "
